Number of clicks on similar products;Number of similar products purchased so far;Average rating given to similar products;Gender;Median purchasing price (in rupees);Rating of the product;Brand of the product;Customer review sentiment score (overall);Price of the product;Holiday;Season;Geographical locations;Probability for the product to be recommended to the person
9;4;03.Бер;female;100;03.Кві;Dettol;0.3;200;No;summer;plains;0.3
26;12;04.Тра;male;3000;04.Лип;Lee;0.85;500;Yes;winter;mountains;0.9
14;7;03.Сер;female;2000;4.0;SleepyCat;0.6;600;Yes;winter;plains;0.7
7;2;02.Лип;female;5000;02.Вер;Flying Machine;-0.1;500;Yes;summer;plains;0.05
31;14;04.Лип;male;600;04.Сер;Pepe Jeans London;0.9;700;No;winter;plains;1.0
16;7;03.Лип;female;300;03.Вер;Lee Cooper;0.7;200;No;summer;coastal;0.8
8;3;03.Січ;male;400;03.Лют;Lakme Ayurveda;0.1;300;No;summer;plains;0.1
23;10;04.Бер;female;7000;04.Кві;Wildcraft;0.8;900;Yes;winter;mountains;0.9
11;5;03.Лют;male;1000;03.Кві;Manyavar Mohey;0.2;100;No;summer;plains;0.2
28;13;04.Сер;female;400;04.Вер;Pepperfry;0.9;700;No;winter;plains;1.0
17;8;03.Вер;male;500;04.Січ;Kama Ayurveda;0.8;200;No;summer;coastal;0.9
12;6;03.Кві;female;2000;03.Чер;Lee;0.5;400;Yes;summer;plains;0.6
6;2;02.Чер;male;6000;02.Сер;Wildcraft;-0.1;500;Yes;summer;plains;0.05
21;10;04.Кві;female;300;04.Тра;Manyavar Mohey;0.8;600;No;winter;plains;0.9
10;4;3.0;male;700;03.Січ;Lee;-0.1;100;No;monsoon;plains;0.05
35;16;04.Сер;female;5000;04.Вер;Johnson & Johnson;0.9;800;Yes;winter;plains;1.0
20;9;04.Лют;male;800;04.Бер;Streax;0.7;300;No;winter;plains;0.8
13;6;03.Тра;female;1000;03.Лип;Pepe Jeans London;0.4;500;Yes;winter;plains;0.5
29;14;04.Лип;male;2000;04.Сер;Manyavar Mohey;0.9;900;No;winter;mountains;1.0
15;7;03.Сер;female;400;4.0;Max;0.6;200;No;summer;plains;0.7
30;15;04.Вер;male;600;5.0;Wildcraft;0.9;700;No;winter;plains;1.0
24;11;04.Чер;female;2000;04.Лип;SleepyCat;0.9;800;No;summer;plains;1.0
18;8;4.0;male;300;04.Січ;PUMA;0.7;200;No;winter;plains;0.8
32;15;04.Сер;female;800;04.Вер;Forest Essentials;0.9;700;No;winter;mountains;1.0
5;2;02.Тра;male;5000;02.Лип;Head & Shoulders;-0.1;500;Yes;winter;plains;0.05
18;8;04.Січ;female;7000;04.Лют;Flying Machine;0.8;900;No;winter;plains;0.9
14;7;03.Сер;male;300;4.0;Pepperfry;0.6;200;No;summer;coastal;0.7
7;3;3.0;female;400;03.Січ;Patanjali Ayurved (Health Care);0.1;300;No;summer;plains;0.1
23;11;04.Бер;male;800;04.Тра;Manyavar Mohey;0.7;400;No;summer;plains;0.8
12;6;03.Бер;female;2000;03.Тра;Wildcraft;0.5;500;Yes;winter;mountains;0.6
27;13;04.Чер;male;1000;04.Лип;Moov;0.9;800;No;summer;plains;1.0
10;5;03.Січ;female;5000;03.Лют;Lakme Ayurveda;0.0;600;Yes;summer;coastal;0.1
36;17;04.Сер;male;200;04.Вер;Lee Cooper;0.9;700;No;winter;plains;1.0
16;8;03.Сер;female;900;4.0;Johnson & Johnson;0.7;200;No;summer;plains;0.8
8;4;03.Лют;male;3000;03.Кві;Fastrack;0.2;400;No;winter;plains;0.3
31;15;04.Лип;female;600;04.Сер;Wildcraft;0.9;700;No;winter;plains;1.0
20;10;04.Бер;male;1000;04.Кві;Lee;0.8;300;No;summer;plains;0.9
11;5;03.Лют;female;4000;03.Кві;Patanjali Ayurved (Health Care);0.1;500;Yes;winter;plains;0.2
28;14;04.Лип;male;200;04.Сер;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
15;8;03.Вер;female;500;04.Січ;Manyavar Mohey;0.7;200;No;summer;plains;0.8
9;4;02.Вер;male;3000;03.Січ;Pepperfry;0.0;600;Yes;summer;mountains;0.1
24;12;04.Тра;female;900;04.Чер;Flying Machine;0.8;300;No;winter;plains;0.9
13;7;03.Лип;male;100;03.Сер;Sugar Cosmetics;0.6;200;No;summer;coastal;0.7
6;3;02.Вер;female;6000;03.Січ;Wildcraft;0.0;500;Yes;winter;plains;0.1
21;11;04.Кві;male;500;04.Чер;Urban Ladder;0.7;400;No;summer;plains;0.8
32;16;04.Сер;female;2000;04.Вер;Lakme Ayurveda;0.9;700;No;winter;plains;1.0
17;9;04.Січ;male;400;04.Лют;Head Hunters;0.8;200;No;summer;coastal;0.9
25;13;04.Чер;female;300;04.Лип;Manyavar Mohey;0.9;800;No;winter;plains;1.0
19;9;04.Лют;male;200;04.Бер;Pepe Jeans London;0.8;300;No;summer;plains;0.9
34;17;04.Вер;female;7000;5.0;Wakefit;0.9;900;Yes;winter;mountains;1.0
22;11;04.Тра;male;1000;04.Лип;Wildcraft;0.8;400;No;winter;plains;0.9
16;8;03.Сер;female;400;4.0;Johnson & Johnson;0.7;200;No;summer;plains;0.8
10;5;03.Січ;male;5000;03.Лют;Lakme Ayurveda;0.0;600;Yes;summer;coastal;0.1
27;13;04.Чер;male;1000;04.Сер;Pepperfry;0.9;800;No;summer;plains;1.0
7;3;02.Вер;female;4000;03.Січ;Forest Essentials;0.0;500;Yes;winter;plains;0.1
23;11;04.Кві;male;800;04.Чер;Manyavar Mohey;0.7;400;No;summer;plains;0.8
12;6;03.Бер;female;2000;03.Тра;Wildcraft;0.5;500;Yes;winter;mountains;0.6
28;14;04.Лип;male;100;04.Сер;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
16;8;03.Сер;female;900;4.0;Johnson & Johnson;0.7;200;No;summer;plains;0.8
8;4;03.Лют;male;3000;03.Кві;Fastrack;0.2;400;No;winter;plains;0.3
31;15;04.Лип;female;600;04.Сер;Wildcraft;0.9;700;No;winter;plains;1.0
20;10;04.Бер;male;1000;04.Кві;Lee;0.8;300;No;summer;plains;0.9
11;5;03.Лют;female;4000;03.Кві;Patanjali Ayurved (Health Care);0.1;500;Yes;winter;plains;0.2
28;14;04.Лип;male;200;04.Сер;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
9;4;02.Вер;male;3000;03.Січ;Wildcraft;0.0;600;Yes;winter;plains;0.1
24;12;04.Тра;female;900;04.Чер;Flying Machine;0.8;300;No;winter;plains;0.9
13;7;03.Лип;male;100;03.Сер;Sugar Cosmetics;0.6;200;No;summer;coastal;0.7
6;3;02.Вер;female;6000;03.Січ;Wildcraft;0.0;500;Yes;winter;plains;0.1
21;11;04.Кві;male;500;04.Чер;Urban Ladder;0.7;400;No;summer;plains;0.8
32;16;04.Сер;female;2000;04.Вер;Lakme Ayurveda;0.9;700;No;winter;plains;1.0
17;9;04.Січ;male;400;04.Лют;Head Hunters;0.8;200;No;summer;coastal;0.9
25;13;04.Чер;female;300;04.Лип;Manyavar Mohey;0.9;800;No;winter;plains;1.0
19;9;04.Лют;male;200;04.Бер;Pepe Jeans London;0.8;300;No;summer;plains;0.9
34;17;04.Вер;female;7000;5.0;Wakefit;0.9;900;Yes;winter;mountains;1.0
22;11;04.Тра;male;1000;04.Лип;Wildcraft;0.8;400;No;winter;plains;0.9
16;8;03.Сер;female;400;4.0;Johnson & Johnson;0.7;200;No;summer;plains;0.8
10;5;03.Січ;male;5000;03.Лют;Lakme Ayurveda;0.0;600;Yes;summer;coastal;0.1
27;13;04.Чер;male;1000;04.Сер;Pepperfry;0.9;800;No;summer;plains;1.0
7;3;02.Вер;female;4000;03.Січ;Forest Essentials;0.0;500;Yes;winter;plains;0.1
23;11;04.Кві;male;800;04.Чер;Manyavar Mohey;0.7;400;No;summer;plains;0.8
12;6;03.Бер;female;2000;03.Тра;Wildcraft;0.5;500;Yes;winter;mountains;0.6
28;14;04.Лип;male;100;04.Сер;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
16;8;03.Сер;female;900;4.0;Johnson & Johnson;0.7;200;No;summer;plains;0.8
8;4;03.Лют;male;3000;03.Кві;Fastrack;0.2;400;No;winter;plains;0.3
31;15;04.Лип;female;600;04.Сер;Wildcraft;0.9;700;No;winter;plains;1.0
20;10;04.Бер;male;1000;04.Кві;Lee;0.8;300;No;summer;plains;0.9
11;5;03.Лют;female;4000;03.Кві;Patanjali Ayurved (Health Care);0.1;500;Yes;winter;plains;0.2
28;14;04.Лип;male;200;04.Сер;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
15;8;03.Вер;female;500;04.Січ;Manyavar Mohey;0.7;200;No;summer;plains;0.8
9;4;02.Вер;male;3000;03.Січ;Wildcraft;0.0;600;Yes;winter;plains;0.1
24;12;04.Тра;female;900;04.Чер;Flying Machine;0.8;300;No;winter;plains;0.9
13;7;03.Лип;male;100;03.Сер;Sugar Cosmetics;0.6;200;No;summer;coastal;0.7
6;3;02.Вер;female;6000;03.Січ;Wildcraft;0.0;500;Yes;winter;plains;0.1
21;11;04.Кві;male;500;04.Чер;Urban Ladder;0.7;400;No;summer;plains;0.8
32;16;04.Сер;female;2000;04.Вер;Lakme Ayurveda;0.9;700;No;winter;plains;1.0
17;9;04.Січ;male;400;04.Лют;Head Hunters;0.8;200;No;summer;coastal;0.9
25;13;04.Чер;female;300;04.Лип;Manyavar Mohey;0.9;800;No;winter;plains;1.0
19;9;04.Лют;male;200;04.Бер;Pepe Jeans London;0.8;300;No;summer;plains;0.9
34;17;04.Вер;female;7000;5.0;Wakefit;0.9;900;Yes;winter;mountains;1.0
22;11;04.Тра;male;1000;04.Лип;Wildcraft;0.8;400;No;winter;plains;0.9
16;8;03.Сер;female;400;4.0;Johnson & Johnson;0.7;200;No;summer;plains;0.8
10;5;03.Січ;male;5000;03.Лют;Lakme Ayurveda;0.0;600;Yes;summer;coastal;0.1
27;13;04.Чер;male;1000;04.Сер;Pepperfry;0.9;800;No;summer;plains;1.0
7;3;02.Вер;female;4000;03.Січ;Forest Essentials;0.0;500;Yes;winter;plains;0.1
23;11;04.Кві;male;800;04.Чер;Manyavar Mohey;0.7;400;No;summer;plains;0.8
12;6;03.Бер;female;2000;03.Тра;Wildcraft;0.5;500;Yes;winter;mountains;0.6
28;14;04.Лип;male;100;04.Сер;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
16;8;03.Сер;female;900;4.0;Johnson & Johnson;0.7;200;No;summer;plains;0.8
8;4;03.Лют;male;3000;03.Кві;Fastrack;0.2;400;No;winter;plains;0.3
31;15;04.Лип;female;600;04.Сер;Wildcraft;0.9;700;No;winter;plains;1.0
20;10;04.Бер;male;1000;04.Кві;Lee;0.8;300;No;summer;plains;0.9
11;5;03.Лют;female;4000;03.Кві;Patanjali Ayurved (Health Care);0.1;500;Yes;winter;plains;0.2
28;14;04.Лип;male;200;04.Сер;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
15;8;03.Вер;female;500;04.Січ;Manyavar Mohey;0.7;200;No;summer;plains;0.8
9;4;02.Вер;male;3000;03.Січ;Wildcraft;0.0;600;Yes;winter;plains;0.1
24;12;04.Тра;female;900;04.Чер;Flying Machine;0.8;300;No;winter;plains;0.9
13;7;03.Лип;male;100;03.Сер;Sugar Cosmetics;0.6;200;No;summer;coastal;0.7
6;3;02.Вер;female;6000;03.Січ;Wildcraft;0.0;500;Yes;winter;plains;0.1
21;11;04.Кві;male;500;04.Чер;Urban Ladder;0.7;400;No;summer;plains;0.8
32;16;04.Сер;female;2000;04.Вер;Lakme Ayurveda;0.9;700;No;winter;plains;1.0
17;9;04.Січ;male;400;04.Лют;Head Hunters;0.8;200;No;summer;coastal;0.9
25;13;04.Чер;female;300;04.Лип;Manyavar Mohey;0.9;800;No;winter;plains;1.0
19;9;04.Лют;male;200;04.Бер;Pepe Jeans London;0.8;300;No;summer;plains;0.9
34;17;04.Вер;female;7000;5.0;Wakefit;0.9;900;Yes;winter;mountains;1.0
22;11;04.Тра;male;1000;04.Лип;Wildcraft;0.8;400;No;winter;plains;0.9
16;8;03.Сер;female;400;4.0;Johnson & Johnson;0.7;200;No;summer;plains;0.8
10;5;03.Січ;male;5000;03.Лют;Lakme Ayurveda;0.0;600;Yes;summer;coastal;0.1
27;13;04.Чер;male;1000;04.Сер;Pepperfry;0.9;800;No;summer;plains;1.0
7;3;02.Вер;female;4000;03.Січ;Forest Essentials;0.0;500;Yes;winter;plains;0.1
23;11;04.Кві;male;800;04.Чер;Manyavar Mohey;0.7;400;No;summer;plains;0.8
12;6;03.Бер;female;2000;03.Тра;Wildcraft;0.5;500;Yes;winter;mountains;0.6
28;14;04.Лип;male;100;04.Сер;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
16;8;03.Сер;female;900;4.0;Johnson & Johnson;0.7;200;No;summer;plains;0.8
8;4;03.Лют;male;3000;03.Кві;Fastrack;0.2;400;No;winter;plains;0.3
31;15;04.Лип;female;600;04.Сер;Wildcraft;0.9;700;No;winter;plains;1.0
20;10;04.Бер;male;1000;04.Кві;Lee;0.8;300;No;summer;plains;0.9
11;5;03.Лют;female;4000;03.Кві;Patanjali Ayurved (Health Care);0.1;500;Yes;winter;plains;0.2
28;14;04.Лип;male;200;04.Сер;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
15;8;03.Вер;female;500;04.Січ;Manyavar Mohey;0.7;200;No;summer;plains;0.8
9;4;02.Вер;male;3000;03.Січ;Wildcraft;0.0;600;Yes;winter;plains;0.1
24;12;04.Тра;female;900;04.Чер;Flying Machine;0.8;300;No;winter;plains;0.9
13;7;03.Лип;male;100;03.Сер;Sugar Cosmetics;0.6;200;No;summer;coastal;0.7
6;3;02.Вер;female;6000;03.Січ;Wildcraft;0.0;500;Yes;winter;plains;0.1
21;11;04.Кві;male;500;04.Чер;Urban Ladder;0.7;400;No;summer;plains;0.8
32;16;04.Сер;female;2000;04.Вер;Lakme Ayurveda;0.9;700;No;winter;plains;1.0
17;9;04.Січ;male;400;04.Лют;Head Hunters;0.8;200;No;summer;coastal;0.9
25;13;04.Чер;female;300;04.Лип;Manyavar Mohey;0.9;800;No;winter;plains;1.0
19;9;04.Лют;male;200;04.Бер;Pepe Jeans London;0.8;300;No;summer;plains;0.9
34;17;04.Вер;female;7000;5.0;Wakefit;0.9;900;Yes;winter;mountains;1.0
22;11;04.Тра;male;1000;04.Лип;Wildcraft;0.8;400;No;winter;plains;0.9
16;8;03.Сер;female;400;4.0;Johnson & Johnson;0.7;200;No;summer;plains;0.8
10;5;03.Січ;male;5000;03.Лют;Lakme Ayurveda;0.0;600;Yes;summer;coastal;0.1
27;13;04.Чер;male;1000;04.Сер;Pepperfry;0.9;800;No;summer;plains;1.0
7;3;02.Вер;female;4000;03.Січ;Forest Essentials;0.0;500;Yes;winter;plains;0.1
23;11;04.Кві;male;800;04.Чер;Manyavar Mohey;0.7;400;No;summer;plains;0.8
12;6;03.Бер;female;2000;03.Тра;Wildcraft;0.5;500;Yes;winter;mountains;0.6
28;14;04.Лип;male;100;04.Сер;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
16;8;03.Сер;female;900;4.0;Johnson & Johnson;0.7;200;No;summer;plains;0.8
8;4;03.Лют;male;3000;03.Кві;Fastrack;0.2;400;No;winter;plains;0.3
31;15;04.Лип;female;600;04.Сер;Wildcraft;0.9;700;No;winter;plains;1.0
20;10;04.Бер;male;1000;04.Кві;Lee;0.8;300;No;summer;plains;0.9
11;5;03.Лют;female;4000;03.Кві;Patanjali Ayurved (Health Care);0.1;500;Yes;winter;plains;0.2
28;14;04.Лип;male;200;04.Сер;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
15;8;03.Вер;female;500;04.Січ;Manyavar Mohey;0.7;200;No;summer;plains;0.8
9;4;02.Вер;male;3000;03.Січ;Wildcraft;0.0;600;Yes;winter;plains;0.1
24;12;04.Тра;female;900;04.Чер;Flying Machine;0.8;300;No;winter;plains;0.9
13;7;03.Лип;male;100;03.Сер;Sugar Cosmetics;0.6;200;No;summer;coastal;0.7
6;3;02.Вер;female;6000;03.Січ;Wildcraft;0.0;500;Yes;winter;plains;0.1
21;11;04.Кві;male;500;04.Чер;Urban Ladder;0.7;400;No;summer;plains;0.8
32;16;04.Сер;female;2000;04.Вер;Lakme Ayurveda;0.9;700;No;winter;plains;1.0
17;9;04.Січ;male;400;04.Лют;Head Hunters;0.8;200;No;summer;coastal;0.9
25;13;04.Чер;female;300;04.Лип;Manyavar Mohey;0.9;800;No;winter;plains;1.0
19;9;04.Лют;male;200;04.Бер;Pepe Jeans London;0.8;300;No;summer;plains;0.9
34;17;04.Вер;female;7000;5.0;Wakefit;0.9;900;Yes;winter;mountains;1.0
22;11;04.Тра;male;1000;04.Лип;Wildcraft;0.8;400;No;winter;plains;0.9
16;8;03.Сер;female;400;4.0;Johnson & Johnson;0.7;200;No;summer;plains;0.8
10;5;03.Січ;male;5000;03.Лют;Lakme Ayurveda;0.0;600;Yes;summer;coastal;0.1
27;13;04.Чер;male;1000;04.Сер;Pepperfry;0.9;800;No;summer;plains;1.0
7;3;02.Вер;female;4000;03.Січ;Forest Essentials;0.0;500;Yes;winter;plains;0.1
23;11;04.Кві;male;800;04.Чер;Manyavar Mohey;0.7;400;No;summer;plains;0.8
12;6;03.Бер;female;2000;03.Тра;Wildcraft;0.5;500;Yes;winter;mountains;0.6
28;14;04.Лип;male;100;04.Сер;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
16;8;03.Сер;female;900;4.0;Johnson & Johnson;0.7;200;No;summer;plains;0.8
8;4;03.Лют;male;3000;03.Кві;Fastrack;0.2;400;No;winter;plains;0.3
31;15;04.Лип;female;600;04.Сер;Wildcraft;0.9;700;No;winter;plains;1.0
20;10;04.Бер;male;1000;04.Кві;Lee;0.8;300;No;summer;plains;0.9
11;5;03.Лют;female;4000;03.Кві;Patanjali Ayurved (Health Care);0.1;500;Yes;winter;plains;0.2
28;14;04.Лип;male;200;04.Сер;Pepe Jeans London;0.9;800;No;winter;mountains;1.0
15;8;03.Вер;female;500;04.Січ;Manyavar Mohey;0.7;200;No;summer;plains;0.8
9;4;02.Вер;male;3000;03.Січ;Wildcraft;0.0;600;Yes;winter;plains;0.1
